ticket_id,source_id,source_type,category,priority,title,description,technical_details,confidence_score,created_date,status,additional_data,bug_severity,reproduction_steps,bug_priority,quality_score,quality_issues,review_status,feature_impact,feature_complexity,user_benefit
TICKET-REV011,REV011,app_store_review,Feature Request,Medium,Feature: Add dark mode support,Please add dark mode! My eyes hurt using this app at night. Would make it so much better for late work sessions.,No technical details found,100.0,2025-09-26T10:32:52.381492,Open,"{""review_id"": ""REV011"", ""platform"": ""Google Play"", ""rating"": 4, ""user_name"": ""night_worker"", ""date"": ""2024-01-20"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV013,REV013,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,Missing functionality for bulk operations. Please add ability to select multiple items at once for editing or deleting.,No technical details found,100.0,2025-09-26T10:32:52.392944,Open,"{""review_id"": ""REV013"", ""platform"": ""Google Play"", ""rating"": 4, ""user_name"": ""efficiency_seeker"", ""date"": ""2024-01-18"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV014,REV014,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,Please add offline mode! Sometimes I need to work without internet connection. This would be a game changer.,No technical details found,100.0,2025-09-26T10:32:52.399521,Open,"{""review_id"": ""REV014"", ""platform"": ""App Store"", ""rating"": 3, ""user_name"": ""offline_warrior"", ""date"": ""2024-01-17"", ""app_version"": ""3.1.9"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV015,REV015,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,Would love to see collaboration features. Need to share documents with team members easily.,No technical details found,66.66666666666666,2025-09-26T10:32:52.406791,Open,"{""review_id"": ""REV015"", ""platform"": ""Google Play"", ""rating"": 4, ""user_name"": ""team_player_88"", ""date"": ""2024-01-16"", ""app_version"": ""3.2.0"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV016,REV016,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,Please add voice notes feature. Would be super helpful for capturing quick thoughts on the go.,No technical details found,100.0,2025-09-26T10:32:52.422265,Open,"{""review_id"": ""REV016"", ""platform"": ""App Store"", ""rating"": 3, ""user_name"": ""voice_memo_fan"", ""date"": ""2024-01-15"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV017,REV017,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,Missing widget support for Android. Would love to have quick access from home screen.,Device: android,66.66666666666666,2025-09-26T10:32:52.446562,Open,"{""review_id"": ""REV017"", ""platform"": ""Google Play"", ""rating"": 4, ""user_name"": ""widget_enthusiast"", ""date"": ""2024-01-14"", ""app_version"": ""3.1.8"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV018,REV018,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,Please add Apple Watch support! Would be great to check notifications and quick actions from my wrist.,No technical details found,50.0,2025-09-26T10:32:52.453446,Open,"{""review_id"": ""REV018"", ""platform"": ""App Store"", ""rating"": 3, ""user_name"": ""watch_user_2024"", ""date"": ""2024-01-13"", ""app_version"": ""3.2.0"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV019,REV019,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,Would love to see better organization options. Folders within folders would help manage large projects.,No technical details found,50.0,2025-09-26T10:32:52.463053,Open,"{""review_id"": ""REV019"", ""platform"": ""Google Play"", ""rating"": 4, ""user_name"": ""organizer_pro"", ""date"": ""2024-01-12"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Medium,Medium,Medium user value
TICKET-REV020,REV020,app_store_review,Feature Request,Medium,Feature: Export functionality,Please add export to more file formats. Currently only PDF but need Word and Excel export options.,No technical details found,100.0,2025-09-26T10:32:52.478039,Open,"{""review_id"": ""REV020"", ""platform"": ""App Store"", ""rating"": 3, ""user_name"": ""format_master"", ""date"": ""2024-01-11"", ""app_version"": ""3.1.9"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV023,REV023,app_store_review,Bug,High,Fix: Application bug report,Really solid app. Does exactly what it promises and more. Been using it for 6 months without any major issues.,No technical details found,100.0,2025-09-26T10:32:52.507408,Open,"{""review_id"": ""REV023"", ""platform"": ""Google Play"", ""rating"": 4, ""user_name"": ""reliable_user"", ""date"": ""2024-01-18"", ""app_version"": ""3.2.0"", ""source_file"": ""app_store_reviews.csv""}",Medium,No steps provided,High,100,[],approved,,,
TICKET-REV030,REV030,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,Excellent app overall. Minor suggestion would be larger font options but everything else is top notch.,No technical details found,50.0,2025-09-26T10:32:52.554610,Open,"{""review_id"": ""REV030"", ""platform"": ""App Store"", ""rating"": 4, ""user_name"": ""accessibility_user"", ""date"": ""2024-01-11"", ""app_version"": ""3.1.9"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV031,REV031,app_store_review,Complaint,Medium,User complaint - investigate,Too expensive for what it offers! $9.99/month is ridiculous when competitors offer similar features for half the price.,No technical details found,50.0,2025-09-26T10:32:52.561538,Open,"{""review_id"": ""REV031"", ""platform"": ""Google Play"", ""rating"": 2, ""user_name"": ""budget_watcher"", ""date"": ""2024-01-20"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,,,
TICKET-REV032,REV032,app_store_review,Bug,High,Fix: Application bug report,Poor customer service experience. Sent three emails about billing issue but got generic auto-responses only.,No technical details found,50.0,2025-09-26T10:32:52.565611,Open,"{""review_id"": ""REV032"", ""platform"": ""App Store"", ""rating"": 2, ""user_name"": ""frustrated_customer"", ""date"": ""2024-01-19"", ""app_version"": ""3.1.9"", ""source_file"": ""app_store_reviews.csv""}",Medium,No steps provided,High,100,[],approved,,,
TICKET-REV033,REV033,app_store_review,Complaint,Medium,User complaint - investigate,App is slow and laggy on my phone. Takes forever to load even simple documents. Very disappointing performance.,No technical details found,100.0,2025-09-26T10:32:52.572791,Open,"{""review_id"": ""REV033"", ""platform"": ""Google Play"", ""rating"": 2, ""user_name"": ""speed_critic"", ""date"": ""2024-01-18"", ""app_version"": ""3.2.0"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,,,
TICKET-REV034,REV034,app_store_review,Complaint,Medium,User complaint - investigate,Terrible update! You removed features I actually used and added stuff nobody asked for. Going back to old version.,No technical details found,100.0,2025-09-26T10:32:52.579489,Open,"{""review_id"": ""REV034"", ""platform"": ""App Store"", ""rating"": 1, ""user_name"": ""update_hater"", ""date"": ""2024-01-17"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,,,
TICKET-REV035,REV035,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,Battery drain is insane! App uses 30% of my battery even when running in background. Needs optimization badly.,No technical details found,50.0,2025-09-26T10:32:52.585605,Open,"{""review_id"": ""REV035"", ""platform"": ""Google Play"", ""rating"": 2, ""user_name"": ""battery_monitor"", ""date"": ""2024-01-16"", ""app_version"": ""3.1.8"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
TICKET-REV036,REV036,app_store_review,Complaint,Medium,User complaint - investigate,Interface is confusing and cluttered. Too many buttons and options scattered everywhere. Poor user experience design.,No technical details found,100.0,2025-09-26T10:32:52.592804,Open,"{""review_id"": ""REV036"", ""platform"": ""App Store"", ""rating"": 2, ""user_name"": ""ux_critic"", ""date"": ""2024-01-15"", ""app_version"": ""3.2.0"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,,,
TICKET-REV044,REV044,app_store_review,Feature Request,Medium,Feature: User-requested enhancement,GET RICH QUICK! Make $5000 per week working from home! No experience needed! Contact me NOW for this LIMITED OFFER!,No technical details found,50.0,2025-09-26T10:32:52.641242,Open,"{""review_id"": ""REV044"", ""platform"": ""App Store"", ""rating"": 5, ""user_name"": ""work_from_home_scam"", ""date"": ""2024-01-17"", ""app_version"": ""2.6.9"", ""source_file"": ""app_store_reviews.csv""}",,,,100,[],approved,Low,Medium,Low user value
